bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
223,143861.725416,1,1,3.571223931e-6,1.485998102e-2,0.99477823,0.99477823,0.000000,10.89242766
224,144350.240833,0,0,1.069423592e-3,6.308502454e-4,-0.89725122,0.89725122,8.577270,10.89242766
225,144825.038748,1,1,8.850987068e-5,8.622537414e-3,0.79886824,0.79886824,-5.145950,10.89242766
226,145304.974037,1,1,1.952477872e-5,1.188430989e-2,0.96483879,0.96483879,0.000000,10.89242766
227,145791.904215,0,0,1.078899792e-3,7.433217799e-4,-0.88102244,0.88102244,6.983250,10.89242766
228,146261.864902,1,1,7.579410949e-5,8.868025955e-3,0.82966469,0.82966469,-9.981244,10.89242766
229,146741.790197,1,1,1.353837659e-5,1.196678061e-2,0.97565415,0.97565415,0.000000,10.89242766
230,147221.715493,1,1,9.265966783e-6,1.408102710e-2,0.98576658,0.98576658,0.000000,10.89242766
231,147701.640788,0,0,9.376268459e-4,1.149965954e-3,-0.79759463,0.79759463,0.000000,10.89242766
232,148181.566084,0,0,7.087980522e-4,2.079508288e-4,-0.94754335,0.94754335,0.000000,10.89242766
233,148656.263107,1,1,6.544118930e-5,8.262870376e-3,0.84116789,0.84116789,-5.219573,10.89242766
234,149136.171004,1,1,5.789283195e-6,1.265137421e-2,0.99008067,0.99008067,0.000000,10.89242766
235,149626.486048,0,0,7.618994084e-4,6.123391148e-4,-0.86256978,0.86256978,10.389830,10.89242766
236,150097.475760,1,1,3.166633220e-5,9.222535907e-3,0.92789659,0.92789659,-8.937921,10.89242766
237,150577.388497,0,0,4.795565504e-4,2.138882215e-4,-0.92132736,0.92132736,0.000000,10.89242766
238,151057.301234,0,0,8.942936270e-4,4.855083547e-4,-0.90504931,0.90504931,0.000000,10.89242766
239,151528.502139,1,1,1.783757887e-4,8.549815248e-3,0.62965983,0.62965983,-8.697336,10.89242766
240,152016.088610,0,0,1.103665709e-3,2.248546371e-4,-0.96327841,0.96327841,7.689909,10.89242766
241,152495.034709,1,1,1.078982224e-4,9.749442100e-3,0.78484134,0.78484134,-0.961677,10.89242766
242,152974.940882,1,1,8.614780888e-5,1.104202080e-2,0.84335074,0.84335074,0.000000,10.89242766
243,153460.047178,0,0,1.204244222e-3,6.601987279e-4,-0.90416167,0.90416167,5.191471,10.89242766
244,153939.970656,0,0,9.316836763e-4,2.640934632e-4,-0.94927323,0.94927323,0.000000,10.89242766
245,154419.894134,0,0,8.136022888e-4,1.140731620e-4,-0.97458313,0.97458313,0.000000,10.89242766
246,154897.504003,1,1,1.014076200e-4,8.937962067e-3,0.78002070,0.78002070,-2.309760,10.89242766
247,155377.419781,1,1,1.932821050e-5,1.215454695e-2,0.96594746,0.96594746,0.000000,10.89242766
248,155865.108905,0,0,9.276183326e-4,7.517174872e-4,-0.86150774,0.86150774,7.760411,10.89242766
249,156336.197446,1,1,6.457813840e-5,8.041976205e-3,0.83913518,0.83913518,-8.838375,10.89242766
250,156828.624690,0,0,7.227983441e-4,2.925644234e-4,-0.92834215,0.92834215,12.494235,10.89242766
251,157308.578523,0,0,9.454514281e-4,6.480494863e-5,-0.98749309,0.98749309,0.000000,10.89242766
252,157786.439008,1,1,2.900027612e-5,8.166126814e-3,0.92551685,0.92551685,-2.089865,10.89242766
253,158266.385875,1,1,4.169566484e-6,1.120813467e-2,0.99192847,0.99192847,0.000000,10.89242766
254,158754.914777,0,0,9.949580949e-4,1.190071407e-3,-0.80210959,0.80210959,8.567756,10.89242766
