bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
176,107840.447714,0,0,2.582347981e-2,7.526558605e-4,-0.98266602,0.98266602,-1.995243,3.33375007
177,108325.272423,1,1,4.345121535e-4,6.774495841e-2,0.95813033,0.95813033,4.853285,3.33375007
178,108805.251935,1,1,3.936454274e-5,6.272965994e-2,0.99582470,0.99582470,0.000000,3.33375007
179,109280.665368,0,0,3.352512724e-2,9.653382803e-4,-0.98287340,0.98287340,-4.558482,3.33375007
180,109764.657767,1,1,2.891817099e-4,6.227273561e-2,0.96950954,0.96950954,4.021379,3.33375007
181,110244.635489,1,1,3.121303966e-4,6.666749848e-2,0.96926320,0.96926320,0.000000,3.33375007
182,110720.161924,0,0,2.679234230e-2,1.253033763e-3,-0.97233066,0.97233066,-4.443881,3.33375007
183,111200.124833,0,0,3.051158426e-2,3.584834091e-4,-0.99297618,0.99297618,0.000000,3.33375007
184,111680.087742,0,0,2.392154052e-2,3.487191468e-4,-0.99129260,0.99129260,0.000000,3.33375007
185,112161.478123,1,1,3.927686848e-4,5.663028025e-2,0.95480152,0.95480152,1.425096,3.33375007
186,112641.445782,1,1,1.499007391e-4,5.661950785e-2,0.98250216,0.98250216,0.000000,3.33375007
187,113116.669581,0,0,2.646193244e-2,6.615546556e-4,-0.98511337,0.98511337,-4.735967,3.33375007
188,113601.426316,1,1,2.958673234e-4,6.093123586e-2,0.96813998,0.96813998,4.796867,3.33375007
189,114081.394178,1,1,2.316615077e-4,5.829707912e-2,0.97385104,0.97385104,0.000000,3.33375007
190,114555.929456,0,0,2.544444904e-2,7.270722167e-4,-0.98300290,0.98300290,-5.423545,3.33375007
191,115035.879240,0,0,2.705487525e-2,4.511302093e-4,-0.99004626,0.99004626,0.000000,3.33375007
192,115515.829024,0,0,2.110264083e-2,2.353202354e-4,-0.99333241,0.99333241,0.000000,3.33375007
193,115997.592591,1,1,4.649939713e-4,5.647660864e-2,0.94657041,0.94657041,1.810766,3.33375007
194,116477.548411,1,1,7.177654835e-5,5.611139232e-2,0.99150729,0.99150729,0.000000,3.33375007
195,116953.746528,0,0,2.383875896e-2,6.420480562e-4,-0.98397174,0.98397174,-3.751451,3.33375007
196,117438.225473,1,1,2.947119145e-4,6.043362282e-2,0.96800528,0.96800528,4.528084,3.33375007
197,117918.183882,1,1,1.698037930e-4,6.256546626e-2,0.98206654,0.98206654,0.000000,3.33375007
198,118398.142291,1,1,2.571935490e-4,7.219571704e-2,0.97652615,0.97652615,0.000000,3.33375007
199,118878.100699,1,1,4.304469939e-6,7.991069426e-2,0.99964091,0.99964091,0.000000,3.33375007
200,119358.113822,0,0,3.079775891e-2,1.682601031e-3,-0.96775225,0.96775225,0.054623,3.33375007
201,119838.072413,0,0,1.807660515e-2,9.627800706e-4,-0.96854979,0.96854979,0.000000,3.33375007
202,120318.242896,1,1,8.671625554e-4,5.330237151e-2,0.89710857,0.89710857,0.211540,3.33375007
203,120799.228239,0,0,1.802185813e-2,5.063827044e-4,-0.98328405,0.98328405,1.024341,3.33375007
