bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction
277,195241.117867,0,0,2.377240965e-3,7.953732975e-4,-0.47903317,0.47903317,0.000000
278,195721.352910,1,1,5.025887125e-5,8.509183291e-4,0.89375366,0.89375366,0.000000
279,196201.587954,1,1,1.468119491e-5,1.485365343e-3,0.98139775,0.98139775,0.000000
280,196681.822997,0,0,2.245269584e-3,5.382469786e-4,-0.59696492,0.59696492,0.000000
281,197162.058040,0,0,2.603180224e-3,1.747558564e-5,-0.98596432,0.98596432,0.000000
282,197642.293083,0,0,2.635660257e-3,1.475338867e-4,-0.88869890,0.88869890,0.000000
283,198122.528126,0,0,2.420631618e-3,6.156223440e-5,-0.94784752,0.94784752,0.000000
284,198601.670183,1,1,4.715271010e-5,1.068857678e-3,0.91956319,0.91956319,-1.091167
285,199081.901589,1,1,4.957407152e-5,1.892538641e-3,0.95144524,0.95144524,0.000000
286,199562.132995,0,0,1.432497188e-3,5.418235176e-4,-0.43041318,0.43041318,0.000000
287,200042.364401,1,1,9.555378567e-6,1.108344871e-3,0.98375474,0.98375474,0.000000
288,200522.595807,0,0,2.241012977e-3,7.943684066e-4,-0.45647914,0.45647914,0.000000
289,201002.827212,0,0,1.945655459e-3,5.325103799e-5,-0.94398687,0.94398687,0.000000
290,201483.058618,0,0,2.983187344e-3,4.977242719e-5,-0.96547684,0.96547684,0.000000
291,201963.290024,0,0,2.756965945e-3,1.463973670e-5,-0.98888153,0.98888153,0.000000
292,202441.630923,1,1,4.759461612e-5,1.269794528e-3,0.93124147,0.93124147,-1.887361
293,202921.856038,0,0,2.363577096e-3,7.238828318e-4,-0.51236958,0.51236958,0.000000
294,203402.081152,1,1,4.263395629e-5,1.081004472e-3,0.92778100,0.92778100,0.000000
295,203882.306267,0,0,2.358084477e-3,9.116302191e-4,-0.42146477,0.42146477,0.000000
296,204362.531382,1,1,3.040085314e-5,1.152240123e-3,0.95110230,0.95110230,0.000000
297,204842.756496,0,0,2.409733616e-3,6.845431045e-4,-0.53956841,0.53956841,0.000000
298,205322.981611,0,0,2.168665307e-3,2.039819055e-5,-0.98038970,0.98038970,0.000000
299,205800.506977,1,1,5.882055157e-5,9.106049608e-4,0.88437994,0.88437994,-2.695256
